epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1139.27,0.22201,0.64997,1.0442,0.99361,0.475,0.98923,0.83673,0.54869,1.17871,0.96576,0.000863116,0.000863116,0.000863116
42,1165.58,0.20649,0.66469,1.0118,0.98348,0.5,0.55969,0.4828,0.53341,1.18372,0.95981,0.000848969,0.000848969,0.000848969
43,1192.52,0.18121,0.646,1.05573,0.95527,0.5,0.51654,0.43508,0.5463,1.35686,0.99479,0.000834822,0.000834822,0.000834822
44,1220.76,0.19374,0.6335,1.02658,1,0.49952,0.52119,0.46533,0.48304,1.21117,0.93807,0.000820675,0.000820675,0.000820675
45,1248.37,0.19337,0.62042,0.99409,0.99824,0.5,0.53577,0.4777,0.48328,0.95444,0.89742,0.000806528,0.000806528,0.000806528
46,1275.19,0.16893,0.53495,1.0285,0.58525,0.91957,0.74625,0.67186,0.46885,0.93378,0.86764,0.00079238,0.00079238,0.00079238
47,1303.27,0.1997,0.56683,1.02341,0.55097,1,0.74625,0.67259,0.54108,0.98121,0.91478,0.000778233,0.000778233,0.000778233
48,1333.51,0.19079,0.57831,1.0028,0.49545,1,0.54725,0.46926,0.60795,1.13431,0.98946,0.000764086,0.000764086,0.000764086
49,1363.44,0.18368,0.59248,1.02079,0.50715,0.975,0.52449,0.45468,0.70405,1.32773,1.10093,0.000749939,0.000749939,0.000749939
50,1391.56,0.18562,0.53236,1.0602,0.54141,0.975,0.66214,0.54692,0.84204,0.97543,1.39397,0.000735792,0.000735792,0.000735792
51,1420.05,0.2126,0.55028,1.00484,0.64008,0.99872,0.66333,0.58219,0.76445,0.90127,1.2385,0.000721645,0.000721645,0.000721645
52,1452.72,0.18778,0.50798,1.03373,0.68368,0.975,0.74506,0.6532,0.6885,0.86013,1.09192,0.000707498,0.000707498,0.000707498
53,1480.04,0.20458,0.55532,0.99363,0.85395,0.975,0.99381,0.8872,0.66211,0.94778,0.94427,0.000693351,0.000693351,0.000693351
54,1506.82,0.18898,0.48206,1.00454,0.94877,0.96945,0.98923,0.82206,0.61192,0.93205,0.89239,0.000679204,0.000679204,0.000679204
55,1533.64,0.17421,0.50808,1.01495,0.95487,0.95,0.98659,0.88727,0.52233,0.89534,0.83095,0.000665057,0.000665057,0.000665057
56,1560.69,0.14174,0.44954,0.98785,0.9258,0.95,0.98402,0.92586,0.42219,0.83687,0.81622,0.000650909,0.000650909,0.000650909
57,1589.08,0.18495,0.48918,1.01886,0.82747,0.95,0.97726,0.91993,0.44343,0.78988,0.81932,0.000636762,0.000636762,0.000636762
58,1616.31,0.18078,0.45837,1.01785,0.83636,1,0.995,0.8955,0.50401,0.72564,0.84908,0.000622615,0.000622615,0.000622615
59,1643.99,0.14861,0.4572,0.99306,0.88637,1,0.995,0.8955,0.55095,0.8633,0.90042,0.000608468,0.000608468,0.000608468
60,1671.61,0.14461,0.48462,0.99206,0.95714,1,0.995,0.8955,0.54737,0.60127,0.90723,0.000594321,0.000594321,0.000594321
61,1699.61,0.15201,0.43326,0.96687,0.97697,1,0.995,0.8955,0.53494,0.5941,0.91389,0.000580174,0.000580174,0.000580174
62,1727.47,0.15839,0.42669,1.00057,0.96941,0.98973,0.995,0.796,0.50851,0.59939,0.88058,0.000566027,0.000566027,0.000566027
63,1753.81,0.13722,0.40594,0.96556,0.94822,0.98594,0.995,0.796,0.45864,0.62731,0.85633,0.00055188,0.00055188,0.00055188
64,1780.66,0.12907,0.40284,0.96424,0.9665,0.99513,0.995,0.796,0.46523,0.59627,0.87224,0.000537733,0.000537733,0.000537733
65,1808.43,0.15219,0.41864,0.98933,0.9744,0.99898,0.995,0.76283,0.46847,0.62977,0.88273,0.000523586,0.000523586,0.000523586
66,1836.33,0.15022,0.41478,0.98587,0.97704,1,0.995,0.70203,0.55404,0.64509,0.89075,0.000509438,0.000509438,0.000509438
67,1863.44,0.15152,0.40529,0.96609,0.97745,1,0.995,0.8955,0.54726,0.66626,0.8652,0.000495291,0.000495291,0.000495291
68,1891.87,0.1208,0.38855,0.95813,0.9773,1,0.995,0.8955,0.55834,0.68699,0.87477,0.000481144,0.000481144,0.000481144
69,1923.16,0.14346,0.36687,0.99933,0.97936,1,0.995,0.89301,0.61376,0.57316,0.96455,0.000466997,0.000466997,0.000466997
70,1952.83,0.13783,0.35657,0.96638,0.98191,1,0.995,0.89289,0.61478,0.53238,0.97899,0.00045285,0.00045285,0.00045285
71,1983.24,0.1097,0.33961,0.97838,0.97545,1,0.995,0.89039,0.61679,0.54111,1.00171,0.000438703,0.000438703,0.000438703
72,2014.54,0.16442,0.37993,0.97836,0.9597,0.99729,0.995,0.89301,0.61525,0.51719,1.01768,0.000424556,0.000424556,0.000424556
73,2045.67,0.11822,0.33014,0.97006,0.9471,0.98698,0.995,0.8955,0.59651,0.52546,1.01367,0.000410409,0.000410409,0.000410409
74,2075.35,0.15022,0.36669,0.95164,0.92468,0.97984,0.995,0.8955,0.58001,0.53399,0.99641,0.000396262,0.000396262,0.000396262
75,2106.3,0.13264,0.35317,0.9615,0.9159,0.98485,0.995,0.8955,0.54971,0.51154,0.95438,0.000382115,0.000382115,0.000382115
76,2137.72,0.12556,0.32685,0.95977,0.9765,0.99497,0.995,0.8955,0.58783,0.55446,0.9407,0.000367967,0.000367967,0.000367967
77,2168.6,0.14204,0.36518,0.9634,0.98108,1,0.995,0.8955,0.54389,0.58939,0.88285,0.00035382,0.00035382,0.00035382
